,i_sensor_1,i_sensor_2,i_sensor_3,o_left,o_right,i_sensor_4,i_sensor_5
0,281,78,57,False,False,74.0,33.0
0,275,77,58,False,False,74.0,33.0
0,269,76,58,False,False,73.0,47.0
0,263,75,59,False,False,73.0,49.0
0,257,73,59,False,False,72.0,50.0
0,251,73,60,False,False,71.0,50.0
0,245,65,62,False,False,70.0,51.0
0,239,71,63,False,False,69.0,51.0
0,233,70,63,False,False,68.0,52.0
0,227,69,63,False,False,67.0,52.0
0,221,69,64,False,False,66.0,53.0
0,215,68,64,False,False,65.0,54.0
0,209,68,66,False,False,64.0,54.0
0,203,65,68,False,False,63.0,55.0
0,276,67,65,False,True,61.0,56.0
0,268,64,66,False,False,62.0,55.0
0,262,64,68,False,False,61.0,56.0
0,251,56,68,False,False,62.0,55.0
0,250,62,71,False,False,60.0,56.0
0,239,60,72,False,False,60.0,57.0
0,600,61,68,False,True,58.0,57.0
0,600,60,68,False,False,57.0,58.0
0,600,60,70,False,False,57.0,59.0
0,600,60,72,False,False,55.0,59.0
0,600,60,72,False,False,55.0,60.0
0,600,59,74,False,False,55.0,60.0
0,600,59,70,False,True,54.0,61.0
0,600,61,69,False,False,54.0,60.0
0,600,60,70,False,False,55.0,61.0
0,600,61,69,False,False,55.0,61.0
0,600,62,71,False,False,55.0,62.0
0,600,60,71,False,False,51.0,62.0
0,600,60,72,False,False,55.0,62.0
0,600,60,72,False,False,55.0,62.0
0,600,59,72,False,False,54.0,63.0
0,600,60,72,False,False,55.0,63.0
0,600,60,72,False,False,54.0,63.0
0,600,60,72,False,False,54.0,64.0
0,600,51,71,False,False,53.0,64.0
0,600,60,72,False,False,53.0,65.0
0,600,62,71,False,False,54.0,64.0
0,600,61,72,False,False,53.0,64.0
0,600,61,72,False,False,54.0,64.0
0,600,60,74,False,False,54.0,64.0
0,600,62,73,False,False,55.0,64.0
0,600,61,74,False,False,54.0,64.0
0,600,61,74,False,False,55.0,63.0
0,600,60,73,False,False,54.0,64.0
0,600,60,73,False,False,55.0,65.0
0,600,52,73,False,False,55.0,65.0
0,600,58,74,False,False,54.0,65.0
0,600,58,76,False,False,54.0,66.0
0,600,56,75,False,False,54.0,65.0
0,600,56,76,False,False,54.0,66.0
0,600,57,77,False,False,52.0,65.0
0,600,56,77,False,False,52.0,66.0
0,600,55,78,False,False,51.0,65.0
0,600,54,77,False,False,51.0,67.0
0,600,54,78,False,False,50.0,67.0
0,600,53,77,False,False,51.0,76.0
0,600,52,77,False,False,50.0,68.0
0,600,45,76,False,False,49.0,69.0
0,297,53,76,False,False,49.0,69.0
0,294,52,76,False,False,48.0,69.0
0,281,52,75,False,False,48.0,69.0
0,279,53,74,False,False,47.0,68.0
0,276,53,73,False,False,48.0,68.0
0,267,53,72,False,False,47.0,68.0
0,264,55,73,False,False,47.0,68.0
0,255,55,72,False,False,47.0,68.0
0,252,56,72,False,False,48.0,76.0
0,243,53,70,False,False,48.0,66.0
0,240,59,70,False,False,48.0,65.0
0,234,60,68,False,False,49.0,65.0
0,225,60,68,False,False,49.0,65.0
0,215,62,66,False,False,50.0,65.0
0,213,64,65,False,False,51.0,64.0
0,210,64,65,False,False,53.0,62.0
0,201,66,64,False,False,54.0,62.0
0,198,66,64,False,False,53.0,60.0
0,192,67,62,False,False,55.0,59.0
0,186,62,61,False,False,56.0,58.0
0,180,69,60,False,False,57.0,58.0
0,171,71,59,False,False,58.0,58.0
0,168,72,59,False,False,59.0,57.0
0,159,73,57,False,False,59.0,56.0
0,149,73,55,False,False,60.0,55.0
0,183,69,55,True,False,52.0,54.0
0,233,67,56,True,False,60.0,53.0
0,227,65,55,False,False,60.0,53.0
0,221,66,55,False,False,59.0,52.0
0,215,65,54,False,False,60.0,52.0
0,209,63,52,False,False,59.0,50.0
0,203,63,52,False,False,59.0,50.0
0,184,54,50,False,False,58.0,49.0
0,183,61,49,False,False,58.0,49.0
0,185,61,48,False,False,58.0,47.0
0,182,61,47,False,False,57.0,47.0
0,173,62,45,False,False,57.0,45.0
0,167,63,43,False,False,55.0,43.0
0,161,66,43,False,False,55.0,43.0
0,155,66,41,False,False,54.0,40.0
0,210,63,40,True,False,54.0,39.0
0,204,67,40,False,False,54.0,38.0
0,198,65,39,False,False,54.0,37.0
0,192,57,38,False,False,54.0,36.0
0,186,68,39,False,False,55.0,36.0
0,246,65,39,True,False,55.0,35.0
0,600,62,39,True,False,55.0,36.0
0,600,62,39,False,False,54.0,35.0
0,600,61,38,False,False,54.0,34.0
0,600,61,40,False,False,54.0,34.0
0,600,60,38,False,False,53.0,34.0
0,600,62,39,False,False,53.0,34.0
0,600,64,37,False,False,53.0,34.0
0,600,64,37,False,False,53.0,33.0
0,600,63,38,False,False,53.0,34.0
0,600,62,39,False,False,53.0,33.0
0,600,65,37,False,False,54.0,32.0
0,600,66,38,False,False,54.0,33.0
0,600,67,39,False,False,54.0,33.0
0,600,67,38,False,False,55.0,33.0
0,600,68,39,False,False,55.0,34.0
0,600,65,39,True,False,55.0,34.0
0,600,64,40,False,False,55.0,35.0
0,600,64,41,False,False,56.0,35.0
0,600,65,40,False,False,56.0,35.0
0,600,66,39,False,False,56.0,35.0
0,600,66,41,False,False,56.0,34.0
0,600,63,40,False,False,56.0,35.0
0,600,68,40,False,False,56.0,35.0
0,600,67,42,False,False,56.0,35.0
0,600,68,42,False,False,56.0,35.0
0,600,63,45,True,False,56.0,36.0
0,600,63,46,False,False,55.0,38.0
0,600,63,46,False,False,56.0,39.0
0,600,63,48,False,False,56.0,39.0
0,600,63,49,False,False,56.0,38.0
0,600,63,49,False,False,55.0,39.0
0,600,68,46,False,True,55.0,39.0
0,600,67,47,False,False,56.0,40.0
0,600,69,45,False,False,57.0,40.0
0,600,71,47,False,False,57.0,40.0
0,600,70,47,False,False,58.0,40.0
0,600,70,45,False,False,58.0,40.0
0,600,71,47,False,False,59.0,39.0
0,600,71,45,False,False,59.0,40.0
0,600,72,47,False,False,60.0,40.0
0,600,70,46,False,False,60.0,40.0
0,600,72,49,False,False,60.0,40.0
0,600,72,49,False,False,61.0,40.0
0,600,68,50,False,False,61.0,40.0
0,600,72,48,False,False,61.0,41.0
0,600,73,50,False,False,62.0,42.0
0,600,72,49,False,False,62.0,42.0
0,600,73,49,False,False,61.0,42.0
0,600,72,46,False,False,62.0,42.0
0,600,72,47,False,False,62.0,42.0
0,600,71,46,False,False,62.0,42.0
0,600,72,45,False,False,62.0,42.0
0,600,71,46,False,False,62.0,41.0
0,600,71,45,False,False,62.0,40.0
0,600,68,44,False,False,62.0,39.0
0,600,68,43,False,False,63.0,39.0
0,600,69,44,False,False,63.0,39.0
0,600,70,42,False,False,62.0,38.0
0,600,69,45,False,False,62.0,38.0
0,600,68,43,False,False,61.0,38.0
0,600,69,45,False,False,61.0,38.0
0,600,68,46,False,False,60.0,39.0
0,600,67,45,False,False,60.0,39.0
0,600,69,45,False,False,60.0,39.0
0,600,70,42,False,True,60.0,39.0
0,600,73,43,False,False,61.0,38.0
0,600,73,44,False,False,61.0,38.0
0,600,74,44,False,False,61.0,38.0
0,600,74,45,False,False,62.0,39.0
0,600,75,44,False,False,62.0,39.0
0,600,76,46,False,False,63.0,39.0
0,600,78,47,False,False,64.0,39.0
0,600,80,49,False,False,64.0,39.0
0,600,81,47,False,False,64.0,40.0
0,600,78,48,False,False,64.0,41.0
0,600,67,49,False,False,65.0,42.0
0,600,82,52,False,False,65.0,42.0
0,600,84,53,False,False,66.0,42.0
0,600,85,51,False,False,67.0,43.0
0,600,85,53,False,False,69.0,44.0
0,600,85,54,False,False,69.0,45.0
0,600,87,54,False,False,70.0,45.0
0,600,89,52,False,False,71.0,45.0
0,600,88,53,False,False,71.0,46.0
0,600,94,50,False,True,74.0,46.0
0,600,99,48,False,True,76.0,46.0
0,600,99,48,False,False,78.0,45.0
0,600,99,47,False,False,81.0,44.0
0,600,100,46,False,False,83.0,43.0
0,600,100,46,False,False,83.0,43.0
0,600,100,45,False,False,84.0,43.0
0,299,100,44,False,False,86.0,42.0
0,293,97,44,False,False,87.0,42.0
0,287,100,43,False,False,87.0,41.0
0,281,100,43,False,False,87.0,40.0
0,275,100,43,False,False,87.0,40.0
0,269,100,43,False,False,88.0,39.0
0,263,100,43,False,False,88.0,39.0
0,257,100,43,False,False,88.0,39.0
0,251,100,43,False,False,88.0,39.0
0,245,100,43,False,False,88.0,39.0
0,239,100,43,False,False,88.0,39.0
0,233,100,43,False,False,89.0,39.0
0,227,93,43,False,False,90.0,39.0
0,221,100,43,False,False,90.0,39.0
0,215,100,43,False,False,90.0,39.0
0,209,100,43,False,False,90.0,39.0
0,203,100,43,False,False,90.0,39.0
0,197,100,43,False,False,90.0,39.0
0,191,100,43,False,False,90.0,39.0
0,185,100,44,False,False,90.0,39.0
0,179,100,42,False,False,90.0,39.0
0,173,100,42,False,False,90.0,39.0
0,167,100,42,False,False,90.0,39.0
0,161,100,42,False,False,90.0,38.0
0,155,100,46,False,False,90.0,38.0
0,149,99,200,False,False,90.0,38.0
0,143,99,200,False,False,90.0,38.0
0,137,97,200,False,False,90.0,39.0
0,134,94,200,False,True,90.0,39.0
0,132,99,200,False,True,90.0,40.0
0,130,95,200,False,True,92.0,41.0
0,125,99,200,False,True,94.0,41.0
0,123,97,200,False,True,98.0,44.0
0,120,99,200,False,True,99.0,55.0
0,117,98,200,False,True,94.0,58.0
0,115,96,200,False,True,99.0,61.0
0,112,96,200,False,True,98.0,61.0
0,110,92,200,False,True,99.0,65.0
0,106,91,200,False,True,98.0,67.0
0,104,86,200,False,True,97.0,84.0
0,104,81,200,False,True,95.0,75.0
0,105,79,200,False,True,91.0,70.0
0,105,77,200,False,True,85.0,70.0
0,116,74,200,False,True,81.0,69.0
0,120,70,200,False,True,80.0,70.0
0,136,70,200,False,True,73.0,77.0
0,151,66,200,False,True,70.0,77.0
0,230,63,99,False,True,67.0,77.0
0,600,62,89,False,True,66.0,76.0
0,600,64,87,False,True,62.0,76.0
0,600,62,80,False,True,59.0,77.0
0,269,64,85,False,True,59.0,77.0
0,263,66,87,False,False,59.0,76.0
0,257,68,89,False,False,59.0,75.0
0,251,67,91,False,False,57.0,75.0
0,245,66,93,False,False,57.0,74.0
0,239,69,95,False,False,57.0,76.0
0,233,69,95,False,False,56.0,76.0
0,227,69,94,False,False,59.0,75.0
0,221,68,93,False,False,59.0,77.0
0,215,68,91,False,False,58.0,78.0
0,209,68,90,False,False,59.0,81.0
0,203,68,89,False,False,60.0,82.0
0,197,69,90,False,False,60.0,84.0
0,191,68,88,False,False,61.0,84.0
0,185,70,87,False,False,61.0,84.0
0,179,72,87,False,False,60.0,84.0
0,175,72,86,False,False,59.0,82.0
0,175,73,84,False,False,60.0,80.0
0,174,74,82,False,False,60.0,80.0
0,155,76,80,False,False,61.0,80.0
0,149,77,78,False,False,62.0,79.0
0,181,74,70,True,False,62.0,78.0
0,197,69,74,True,False,63.0,77.0
0,191,70,74,False,False,61.0,75.0
0,185,69,74,False,False,62.0,74.0
0,182,70,69,False,False,61.0,73.0
0,182,70,69,False,False,61.0,73.0
0,182,72,69,False,False,61.0,73.0
0,204,69,66,True,False,61.0,72.0
0,252,66,70,True,False,61.0,72.0
0,246,65,70,False,False,60.0,73.0
0,240,64,70,False,False,59.0,71.0
0,234,63,70,False,False,57.0,71.0
0,228,62,70,False,False,57.0,70.0
0,222,62,69,False,False,57.0,69.0
0,259,59,60,True,False,57.0,68.0
0,600,55,61,True,False,57.0,65.0
0,600,54,61,False,False,56.0,65.0
0,600,54,61,False,False,54.0,65.0
0,600,54,61,False,False,52.0,64.0
0,600,54,61,False,False,50.0,63.0
0,600,54,61,False,False,49.0,63.0
0,600,54,61,False,False,48.0,63.0
0,600,53,61,False,False,48.0,63.0
0,600,53,61,False,False,48.0,63.0
0,600,52,61,False,False,48.0,63.0
0,600,52,61,False,False,48.0,63.0
0,600,52,61,False,False,47.0,63.0
0,600,52,58,False,False,47.0,63.0
0,600,52,58,False,False,46.0,63.0
0,600,54,58,False,False,46.0,62.0
0,600,54,58,False,False,46.0,62.0
0,600,55,58,False,False,46.0,62.0
0,600,55,58,False,False,46.0,61.0
0,600,57,58,False,False,47.0,61.0
0,600,57,57,False,False,48.0,61.0
0,600,59,57,False,False,48.0,61.0
0,600,59,57,False,False,49.0,61.0
0,600,60,55,False,False,49.0,61.0
0,600,61,55,False,False,50.0,61.0
0,600,61,55,False,False,50.0,60.0
0,600,58,57,True,False,57.0,58.0
0,600,60,55,False,False,57.0,57.0
0,600,61,56,False,False,57.0,58.0
0,600,62,55,False,False,57.0,57.0
0,600,62,53,False,False,57.0,58.0
0,600,63,52,False,False,57.0,57.0
0,600,64,52,False,False,57.0,58.0
0,600,65,52,False,False,57.0,57.0
0,296,66,49,False,False,57.0,57.0
0,290,66,47,False,False,57.0,55.0
0,284,67,45,False,False,57.0,47.0
0,278,69,45,False,False,57.0,46.0
0,272,70,44,False,False,57.0,47.0
0,259,67,41,True,False,63.0,46.0
0,253,67,40,False,False,63.0,46.0
0,247,66,40,False,False,64.0,40.0
0,240,66,39,False,False,64.0,39.0
0,234,68,39,False,False,64.0,39.0
0,228,68,39,False,False,64.0,39.0
0,222,70,39,False,False,64.0,34.0
0,217,70,39,False,False,64.0,34.0
0,211,71,41,False,False,64.0,34.0
0,205,74,42,False,False,64.0,34.0
0,198,74,44,False,False,69.0,40.0
0,192,75,45,False,False,69.0,40.0
0,186,76,47,False,False,69.0,40.0
0,180,76,50,False,False,69.0,40.0
0,174,79,53,False,False,69.0,40.0
0,168,80,99,False,False,69.0,46.0
0,162,79,98,False,False,69.0,53.0
0,156,77,64,False,False,69.0,54.0
0,150,77,72,False,False,69.0,56.0
0,144,77,200,False,False,75.0,57.0
0,138,76,200,False,False,75.0,57.0
0,133,75,200,False,False,75.0,57.0
0,127,75,200,False,False,75.0,57.0
0,125,77,200,False,True,69.0,57.0
0,123,81,200,False,True,70.0,67.0
0,122,85,200,False,True,70.0,67.0
0,117,87,200,False,True,73.0,67.0
0,114,87,200,False,True,76.0,68.0
0,118,87,200,False,True,79.0,67.0
0,108,86,200,False,True,83.0,67.0
0,101,84,200,False,False,83.0,68.0
0,96,81,200,False,False,82.0,76.0
0,89,77,200,False,False,82.0,94.0
0,88,74,200,False,True,80.0,87.0
0,86,71,200,False,True,77.0,86.0
0,86,68,200,False,True,74.0,81.0
0,85,64,200,False,True,70.0,80.0
0,99,59,200,False,True,66.0,79.0
0,90,56,200,False,True,63.0,78.0
0,103,53,200,False,True,59.0,77.0
0,103,49,200,False,True,54.0,76.0
0,128,46,100,False,True,50.0,76.0
0,128,45,101,False,True,45.0,75.0
0,161,45,100,False,True,44.0,74.0
0,207,45,97,False,True,42.0,74.0
0,288,45,90,False,True,41.0,74.0
0,600,49,84,False,True,41.0,74.0
0,600,53,80,False,True,42.0,72.0
0,600,57,76,False,True,46.0,75.0
0,600,66,72,False,True,46.0,75.0
0,600,66,70,False,False,48.0,69.0
0,600,67,70,False,False,49.0,68.0
0,600,72,68,False,False,51.0,66.0
0,600,69,67,False,False,53.0,65.0
0,600,65,70,True,False,51.0,62.0
0,600,65,70,False,False,53.0,62.0
0,600,67,69,False,False,54.0,62.0
0,600,67,71,False,False,54.0,60.0
0,600,65,69,False,False,54.0,61.0
0,600,66,70,False,False,54.0,60.0
0,600,68,70,False,False,55.0,60.0
0,600,68,73,False,False,56.0,59.0
0,600,68,75,False,False,56.0,59.0
0,600,65,87,True,False,56.0,52.0
0,600,63,89,False,False,55.0,60.0
0,600,66,94,False,False,55.0,61.0
0,600,62,96,False,False,54.0,63.0
0,600,64,97,False,False,54.0,66.0
0,600,62,98,False,False,54.0,69.0
0,600,61,98,False,False,53.0,72.0
0,600,61,98,False,False,53.0,74.0
0,600,60,97,False,False,52.0,75.0
0,600,61,96,False,False,53.0,78.0
0,600,61,95,False,False,52.0,80.0
0,600,61,95,False,False,52.0,80.0
0,600,59,94,False,False,51.0,80.0
0,600,65,94,False,False,50.0,80.0
0,600,60,92,False,False,51.0,80.0
0,600,60,94,False,False,51.0,80.0
0,600,58,94,False,False,50.0,80.0
0,600,56,94,False,False,50.0,80.0
0,600,56,95,False,False,50.0,80.0
0,600,57,95,False,False,49.0,81.0
0,600,57,93,False,False,50.0,80.0
0,600,57,93,False,False,48.0,80.0
0,600,57,92,False,False,47.0,80.0
0,600,57,92,False,False,48.0,80.0
0,600,63,91,False,False,48.0,80.0
0,600,57,90,False,False,48.0,80.0
0,600,57,90,False,False,48.0,81.0
0,600,58,89,False,False,48.0,80.0
0,600,58,89,False,False,48.0,80.0
0,600,58,88,False,False,48.0,79.0
0,600,58,87,False,False,48.0,78.0
0,600,58,86,False,False,48.0,78.0
0,600,58,85,False,False,49.0,77.0
0,600,58,85,False,False,49.0,69.0
0,600,58,85,False,False,49.0,76.0
0,600,62,84,False,False,49.0,76.0
0,600,58,83,False,False,49.0,75.0
0,600,58,82,False,False,49.0,74.0
0,600,58,81,False,False,49.0,73.0
0,600,58,81,False,False,48.0,73.0
0,600,60,81,False,False,52.0,73.0
0,600,60,81,False,False,49.0,73.0
0,600,60,81,False,False,49.0,72.0
0,600,59,79,False,False,49.0,71.0
0,600,59,78,False,False,49.0,70.0
0,600,70,78,False,False,50.0,70.0
0,600,55,82,True,False,49.0,69.0
0,600,56,82,False,False,49.0,70.0
0,600,56,83,False,False,48.0,70.0
0,600,55,82,False,False,47.0,70.0
0,600,55,83,False,False,46.0,70.0
0,600,53,83,False,False,46.0,70.0
0,600,52,83,False,False,46.0,70.0
0,600,52,82,False,False,47.0,70.0
0,600,51,82,False,False,46.0,70.0
0,600,51,81,False,False,44.0,71.0
0,600,50,80,False,False,44.0,70.0
0,600,51,82,False,False,43.0,71.0
0,600,54,82,False,False,43.0,71.0
0,600,48,81,False,False,42.0,71.0
0,600,52,77,False,True,43.0,70.0
0,301,50,76,False,False,43.0,69.0
0,301,50,75,False,False,43.0,68.0
0,301,51,74,False,False,43.0,67.0
0,301,51,73,False,False,43.0,67.0
0,300,50,71,False,False,43.0,67.0
0,300,52,70,False,False,42.0,66.0
0,294,65,70,False,False,42.0,65.0
0,300,56,69,False,False,42.0,64.0
0,296,56,68,False,False,42.0,63.0
0,290,58,67,False,False,43.0,62.0
0,284,58,66,False,False,44.0,61.0
0,278,60,65,False,False,45.0,60.0
0,271,62,64,False,False,47.0,60.0
0,266,64,63,False,False,48.0,59.0
0,260,65,62,False,False,49.0,57.0
0,253,66,62,False,False,49.0,56.0
0,248,72,61,False,False,50.0,55.0
0,301,70,65,True,False,50.0,54.0
0,301,64,66,False,False,51.0,54.0
0,301,64,66,False,False,51.0,54.0
0,301,65,66,False,False,52.0,55.0
0,301,66,64,False,False,52.0,54.0
0,301,67,63,False,False,53.0,56.0
0,301,66,63,False,False,53.0,55.0
0,293,67,62,False,False,54.0,57.0
0,291,67,62,False,False,55.0,56.0
0,600,63,65,True,False,54.0,55.0
0,600,63,65,False,False,54.0,55.0
0,600,63,65,False,False,54.0,55.0
0,300,65,65,False,False,53.0,55.0
0,300,63,65,False,False,53.0,55.0
0,300,63,64,False,False,53.0,55.0
0,300,63,64,False,False,53.0,55.0
0,300,63,62,False,False,53.0,55.0
0,300,63,61,False,False,53.0,55.0
0,294,63,60,False,False,53.0,55.0
0,288,63,60,False,False,53.0,55.0
0,282,63,60,False,False,53.0,54.0
0,276,63,58,False,False,53.0,54.0
0,600,60,59,True,False,52.0,52.0
0,600,59,60,False,False,52.0,53.0
0,600,58,59,False,False,51.0,53.0
0,600,58,57,False,False,51.0,53.0
0,600,57,57,False,False,50.0,53.0
0,600,55,57,False,False,50.0,52.0
0,600,57,55,False,False,49.0,51.0
0,600,56,55,False,False,49.0,50.0
0,600,56,56,False,False,48.0,49.0
0,600,55,55,False,False,48.0,48.0
0,301,55,55,False,False,48.0,48.0
0,298,54,55,False,False,48.0,48.0
0,298,54,55,False,False,47.0,47.0
0,287,54,53,False,False,47.0,48.0
0,287,54,55,False,False,46.0,47.0
0,275,53,56,False,False,46.0,47.0
0,264,53,56,False,False,45.0,46.0
0,264,51,57,False,False,45.0,47.0
0,265,50,58,False,False,45.0,47.0
0,265,52,57,False,False,44.0,47.0
0,265,54,57,False,False,44.0,48.0
0,600,50,62,True,False,43.0,49.0
0,600,47,66,True,False,42.0,52.0
0,600,46,68,False,False,41.0,53.0
0,600,44,67,False,False,41.0,53.0
0,600,43,67,False,False,40.0,55.0
0,600,44,67,False,False,39.0,56.0
0,600,43,66,False,False,38.0,56.0
0,600,44,67,False,False,38.0,58.0
0,600,44,68,False,False,37.0,58.0
0,600,47,66,False,False,37.0,59.0
0,600,48,66,False,False,37.0,58.0
0,600,50,63,False,False,38.0,58.0
0,600,51,62,False,False,39.0,59.0
0,600,54,61,False,False,40.0,59.0
0,600,54,60,False,False,41.0,59.0
0,600,58,60,False,False,43.0,57.0
0,600,55,60,False,False,44.0,56.0
0,600,55,60,False,False,45.0,54.0
0,600,57,59,False,False,46.0,53.0
0,600,58,61,False,False,47.0,52.0
0,600,59,60,False,False,48.0,52.0
0,600,61,60,False,False,47.0,51.0
0,600,64,60,False,False,48.0,52.0
0,600,64,60,False,False,50.0,52.0
0,600,67,60,False,False,51.0,53.0
0,600,67,60,False,False,51.0,53.0
0,600,69,60,False,False,53.0,52.0
0,600,69,63,False,False,55.0,52.0
0,600,70,60,False,False,55.0,52.0
0,600,70,62,False,False,57.0,52.0
0,600,71,63,False,False,58.0,52.0
0,600,70,63,False,False,59.0,53.0
0,600,71,62,False,False,59.0,53.0
0,600,71,62,False,False,60.0,53.0
0,600,73,61,False,False,60.0,54.0
0,600,73,60,False,False,61.0,55.0
0,600,84,59,False,False,61.0,55.0
0,300,71,60,True,False,60.0,55.0
0,299,73,60,False,False,60.0,55.0
0,292,72,58,False,False,60.0,54.0
0,286,74,60,False,False,60.0,54.0
0,280,76,59,False,False,60.0,53.0
0,274,77,59,False,False,60.0,53.0
0,274,78,60,False,False,61.0,52.0
0,273,79,61,False,False,62.0,51.0
0,257,84,60,False,False,63.0,52.0
0,251,86,61,False,False,64.0,52.0
0,245,89,61,False,False,65.0,52.0
0,239,90,60,False,False,67.0,52.0
0,234,90,62,False,False,67.0,53.0
0,227,89,64,False,False,68.0,52.0
0,222,89,65,False,False,70.0,53.0
0,215,87,68,False,False,73.0,53.0
0,210,86,66,False,False,75.0,54.0
0,207,87,72,False,False,77.0,54.0
0,207,84,77,False,False,78.0,55.0
0,190,83,82,False,False,78.0,56.0
0,184,83,88,False,False,76.0,57.0
0,193,86,80,False,True,77.0,57.0
0,201,90,75,False,True,77.0,57.0
0,211,93,70,False,True,78.0,57.0
0,205,92,73,False,False,77.0,56.0
0,199,92,74,False,False,78.0,56.0
0,193,91,77,False,False,79.0,56.0
0,187,91,81,False,False,80.0,58.0
0,181,89,87,False,False,80.0,58.0
0,175,88,100,False,False,80.0,61.0
0,176,90,92,False,True,80.0,60.0
0,178,93,80,False,True,81.0,60.0
0,171,92,92,False,False,81.0,60.0
0,166,91,101,False,False,81.0,60.0
0,159,90,100,False,False,81.0,61.0
0,160,91,100,False,True,82.0,61.0
0,163,93,95,False,True,82.0,60.0
0,165,98,83,False,True,84.0,59.0
0,159,98,93,False,False,85.0,59.0
0,153,99,101,False,False,84.0,60.0
0,147,98,100,False,False,84.0,61.0
0,149,92,101,False,True,86.0,61.0
0,150,91,95,False,True,85.0,60.0
0,152,92,86,False,True,85.0,60.0
0,145,96,93,False,False,85.0,60.0
0,140,92,100,False,False,84.0,62.0
0,133,88,99,False,False,83.0,63.0
0,137,81,80,False,True,82.0,63.0
0,139,81,90,False,True,81.0,62.0
0,147,80,83,False,True,84.0,62.0
0,152,81,77,False,True,76.0,61.0
0,146,80,80,False,False,76.0,60.0
0,140,81,87,False,False,74.0,60.0
0,134,79,97,False,False,72.0,62.0
0,128,70,100,False,False,71.0,61.0
0,132,76,95,False,True,67.0,61.0
0,141,74,87,False,True,65.0,60.0
0,151,72,79,False,True,69.0,61.0
0,163,72,73,False,True,62.0,58.0
0,157,70,73,False,False,62.0,58.0
0,151,69,73,False,False,62.0,58.0
0,162,70,68,False,True,57.0,58.0
0,192,70,65,False,True,57.0,57.0
0,300,72,65,False,True,64.0,48.0
0,300,71,65,False,False,64.0,46.0
0,300,70,65,False,False,64.0,46.0
0,600,72,62,False,True,63.0,45.0
0,600,74,59,False,True,64.0,45.0
0,600,73,59,False,False,64.0,44.0
0,600,73,61,False,False,64.0,44.0
0,600,72,61,False,False,63.0,42.0
0,600,71,61,False,False,63.0,41.0
0,600,70,64,False,False,63.0,41.0
0,600,69,64,False,False,62.0,41.0
0,600,67,68,False,False,62.0,41.0
0,600,67,68,False,False,62.0,42.0
0,600,66,68,False,False,61.0,42.0
0,600,65,68,False,False,61.0,45.0
0,600,64,68,False,False,59.0,46.0
0,600,63,68,False,False,59.0,47.0
0,600,61,66,False,False,57.0,49.0
0,300,60,83,False,False,56.0,51.0
0,280,61,71,False,True,56.0,51.0
0,272,61,71,False,False,56.0,52.0
0,268,60,70,False,False,54.0,54.0
0,261,60,89,False,False,53.0,54.0
0,254,60,90,False,False,53.0,56.0
0,249,60,92,False,False,52.0,58.0
0,242,59,93,False,False,51.0,60.0
0,237,58,92,False,False,51.0,61.0
0,230,58,93,False,False,51.0,62.0
0,226,56,96,False,False,50.0,64.0
0,218,56,92,False,False,51.0,67.0
0,214,55,96,False,False,49.0,67.0
0,206,54,92,False,False,49.0,69.0
0,200,55,93,False,False,48.0,70.0
0,195,54,92,False,False,47.0,71.0
0,188,56,89,False,False,48.0,71.0
0,183,58,89,False,False,46.0,72.0
0,176,62,85,False,False,47.0,73.0
0,172,64,85,False,False,46.0,73.0
0,164,67,81,False,False,47.0,74.0
0,160,69,80,False,False,48.0,72.0
0,152,75,71,False,False,50.0,72.0
0,164,69,79,True,False,50.0,69.0
0,182,65,82,True,False,50.0,67.0
0,205,62,85,True,False,50.0,67.0
0,257,58,88,True,False,47.0,69.0
0,300,55,89,True,False,40.0,75.0
0,300,55,87,False,False,40.0,75.0
0,294,55,87,False,False,40.0,75.0
